,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,CallService,MultipleConnections,InternetConnection,OnlineSecurity,OnlineBackup,DeviceProtectionService,TechnicalHelp,OnlineTV,OnlineMovies,Agreement,BillingMethod,PaymentMethod,MonthlyServiceCharges,TotalAmount,Churn,Media
0,1572,0,0.0,1,1,11.0,1,0,2,1,1,1,1,1,1,1,0,3,20.6,1789,0,900.0
1,2154,0,0.0,0,0,67.0,0,1,0,0,0,2,2,2,2,0,1,1,53.4,7213,0,3640.0
2,5462,0,0.0,1,0,59.0,1,0,2,1,1,1,1,1,1,2,0,0,18.4,4346,0,2202.5
3,3754,1,0.0,1,1,67.0,1,2,2,1,1,1,1,1,1,2,0,3,26.3,5524,0,2795.5
4,3291,0,0.0,0,0,11.0,1,2,1,0,0,0,0,0,0,0,0,2,75.25,3953,0,1982.0
5,4851,0,0.0,1,1,36.0,1,2,0,2,2,2,2,2,2,2,1,1,92.9,7098,0,3567.0
6,5473,0,0.0,1,1,49.0,1,0,0,2,0,2,2,0,0,0,0,0,61.75,6839,0,3444.0
7,507,0,0.0,0,0,54.0,1,0,1,2,2,0,0,2,2,1,1,1,100.05,8106,0,4080.0
8,2770,1,0.0,0,0,26.0,1,2,1,0,0,2,2,0,0,0,1,3,84.3,6187,0,3106.5
9,4139,1,0.0,0,0,19.0,1,0,2,1,1,1,1,1,1,1,0,3,18.8,2005,0,1012.0
10,2126,0,1.0,1,0,71.0,1,2,1,2,2,2,2,0,0,2,1,1,96.35,8634,0,4352.5
11,4818,0,1.0,0,0,26.0,1,2,0,0,0,0,2,0,2,0,1,2,66.05,5473,0,2749.5
12,4490,1,0.0,1,0,42.0,1,2,0,2,0,0,0,0,0,1,0,1,56.1,6286,0,3164.0
13,2405,0,0.0,1,0,72.0,1,2,1,2,0,2,0,2,2,2,1,2,105.5,8807,0,4439.5
14,4861,1,0.0,0,0,1.0,1,0,1,0,0,0,2,0,0,0,0,2,74.0,677,0,339.0
15,1255,0,0.0,0,0,48.0,1,2,2,1,1,1,1,1,1,1,0,0,24.55,4687,0,2367.5
16,4521,1,0.0,1,1,63.0,1,0,2,1,1,1,1,1,1,2,0,3,19.55,4768,0,2415.5
17,4688,0,0.0,0,0,39.0,0,1,0,0,2,2,2,0,0,0,0,0,41.1,5398,0,2718.5
18,4196,1,0.0,0,0,25.0,1,0,1,0,0,0,0,0,0,0,0,2,69.75,5583,0,2804.0
19,3342,1,0.0,0,0,3.0,0,1,0,0,0,0,2,0,0,0,1,2,29.75,944,0,473.5
20,1069,1,0.0,1,1,1.0,1,0,1,0,0,0,0,0,2,0,1,2,81.05,795,0,398.0
21,5459,1,0.0,0,0,5.0,1,0,0,0,2,0,2,0,2,0,1,0,65.6,2241,0,1123.0
22,1573,0,0.0,1,1,56.0,1,2,2,1,1,1,1,1,1,2,1,1,24.95,5210,0,2633.0
23,1774,0,0.0,1,1,71.0,1,2,1,2,2,2,0,2,0,2,1,1,99.0,8717,0,4394.0
24,3905,1,0.0,1,1,19.0,1,0,0,2,0,0,0,0,0,1,1,0,48.95,4106,0,2062.5
25,2206,0,0.0,1,1,58.0,1,0,1,0,2,2,0,2,0,0,1,2,91.55,8189,0,4123.5
26,828,0,0.0,0,0,1.0,1,0,0,0,0,0,2,0,0,0,1,2,49.9,411,0,206.0
27,4995,1,0.0,1,1,42.0,1,0,2,1,1,1,1,1,1,2,0,3,19.35,3909,0,1975.5
28,1140,0,0.0,1,1,40.0,1,2,2,1,1,1,1,1,1,0,1,2,26.2,4400,0,2220.0
29,4579,1,0.0,0,0,39.0,1,2,1,0,0,0,0,0,0,0,1,1,73.15,6597,0,3318.0
30,3025,0,1.0,0,0,66.0,1,2,0,2,2,0,2,0,0,1,1,1,63.85,7557,0,3811.5
31,3813,1,1.0,0,0,30.0,1,2,1,2,0,0,0,0,2,0,1,1,90.5,6478,0,3254.0
32,3032,1,0.0,1,1,67.0,0,1,0,2,0,0,0,2,2,2,0,1,50.9,7038,0,3552.5
33,1477,0,0.0,1,1,33.0,1,0,2,1,1,1,1,1,1,2,0,1,19.8,3281,0,1657.0
34,4239,0,0.0,1,1,41.0,1,0,0,2,0,0,2,2,2,1,1,1,74.7,6971,0,3506.0
35,3397,0,0.0,1,0,16.0,1,0,2,1,1,1,1,1,1,0,0,3,19.6,2137,0,1076.5
36,3193,1,1.0,0,0,31.0,1,2,1,0,2,0,0,2,0,0,1,2,90.7,6684,0,3357.5
37,242,1,0.0,0,0,24.0,1,2,1,0,2,0,0,2,2,0,1,0,99.65,6299,0,3161.5
38,146,0,0.0,1,1,72.0,0,1,0,2,2,2,2,2,2,2,1,0,63.8,7805,0,3938.5
39,4272,1,0.0,0,0,15.0,1,2,2,1,1,1,1,1,1,0,1,2,26.35,2403,0,1209.0
40,843,0,0.0,1,1,71.0,1,2,2,1,1,1,1,1,1,2,0,1,23.9,5488,0,2779.5
41,4787,1,0.0,1,0,69.0,1,2,1,2,2,2,2,0,2,1,1,1,107.2,8766,0,4417.5
42,4122,1,0.0,1,0,27.0,1,2,0,2,0,0,2,2,2,1,0,3,80.85,6108,0,3067.5
43,4574,0,0.0,0,0,54.0,1,0,0,2,0,2,2,2,2,2,0,2,80.6,7625,0,3839.5
44,5113,1,0.0,1,0,69.0,1,0,0,2,2,2,2,2,2,2,1,3,84.7,8330,0,4199.5
45,4838,1,0.0,1,1,69.0,1,2,0,0,2,2,2,2,2,2,1,0,81.95,8220,0,4144.5
46,5069,0,1.0,1,0,65.0,1,0,1,2,2,2,0,0,2,0,0,2,94.4,8426,0,4245.5
47,1170,0,0.0,1,0,72.0,1,2,1,2,2,0,0,0,2,2,1,1,94.45,8675,0,4373.5
48,5475,0,0.0,1,1,63.0,1,0,0,2,2,2,2,0,0,2,0,3,63.55,7462,0,3762.5
49,5389,0,0.0,1,1,1.0,1,0,2,1,1,1,1,1,1,0,1,3,19.4,8,0,4.5
50,2575,0,0.0,0,1,8.0,1,0,2,1,1,1,1,1,1,0,0,3,19.95,1421,0,714.5
51,889,0,0.0,0,0,5.0,1,0,0,0,0,0,0,0,0,0,1,1,44.05,1599,0,802.0
52,1522,1,0.0,0,0,19.0,1,0,0,0,0,0,0,0,0,0,1,0,45.0,3905,0,1962.0
53,5398,1,0.0,1,0,9.0,1,2,0,0,2,2,0,0,2,0,1,1,69.05,3321,0,1665.0
